offset 673a
size  43
Normal Palette Offset 00
Points Y Offset       01
Points X Offset       02
Top Offset            03
Bottom Offset         03
Monster Type Offset   04 05 06
Break Speed Offset    07
Monster Speed Offset  08
Bubble Speed Offset   09
Weapon Y Offset       0a
Weapon X Offset       0b
Alien Flag Offset     0c
Timer Offset          0d
Super Palette Offset  0e
Baron Time Offset     0f
Baron Speed Offset    10
Monster Drop Offset   11, 14, 17, 1a, 1d, 20, 23
Monster X Offset      12, 15, 18, 1b, 1e, 21, 24
Monster Y Offset      13, 16, 19, 1c, 1f, 22, 25
Lightning Rate Offset 26
Water Rate Offset     27
Fire Rate Offset      28
Monster Dir Offset    2a



     *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *     *
  1  05 90 53 AA 30 00 00 1E 0A 04 90 A0 00 1E 05 0A 01 01 78 90 15 78 90 29 78 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 78 
  2  04 68 77 AA 40 00 00 1E 0A 04 40 78 00 1E 07 0A 01 01 60 90 01 90 90 1F 80 B8 1F 70 B8 00 00 00 00 00 00 00 00 00 00 00 00 00 76 
  3  04 B8 53 00 40 00 00 1E 0A 04 B8 A0 00 1E 02 0A 01 01 A0 B8 01 50 B8 01 C0 90 01 30 90 00 00 00 00 00 00 00 00 00 00 00 00 00 7A 
  4  01 18 DB 50 60 00 00 1E 0A 04 18 15 00 1E 03 0A 01 01 C8 B0 01 B8 90 01 A8 40 01 28 B0 01 38 90 01 48 40 00 00 00 00 00 00 00 78 
  5  06 68 78 55 40 00 00 14 0A 04 18 79 00 1E 02 0A 01 01 80 90 01 70 68 01 60 40 01 90 B8 01 90 B8 00 00 00 00 00 00 00 0C 00 00 70 
  6  00 B8 CF 55 20 20 00 14 0A 04 B8 41 00 1E 00 0A 01 01 C0 B8 01 D0 68 01 A0 90 01 78 68 00 00 00 00 00 00 00 00 00 00 0C 00 00 78 
  7  02 B8 D0 55 00 40 00 14 0A 04 B8 20 00 1E 05 0A 01 01 10 B8 01 E0 B8 01 D0 90 01 20 90 00 00 00 00 00 00 00 00 00 00 00 00 00 79 
  8  03 A8 AF 5A 20 20 00 14 0A 04 A8 40 00 1E 03 0A 01 01 40 80 01 B0 80 01 B0 A8 01 40 A8 00 00 00 00 00 00 00 00 00 00 00 00 00 79 
  9  00 B8 2F 5A 00 50 00 14 0A 04 B8 BF 00 1E 00 0A 01 01 78 78 15 C8 98 01 28 98 29 38 B8 01 B8 B8 00 00 00 00 00 00 00 00 00 00 6C 
 10  01 C0 0F 55 40 00 03 0A 0A 04 C0 E1 00 1E 03 0A 01 0A C0 A0 0A 70 18 0A 80 18 0A 30 A0 28 78 90 14 88 80 14 68 80 00 0C 00 00 3C 
